Title	xmlUrl	htmlUrl
KCRW's Here Be Monsters	http://feeds.feedburner.com/herebemonsterspodcast/	http://www.kcrw.com/news-culture/shows/here-be-monsters
Love + Radio	http://feeds.feedburner.com/loveplusradio	http://loveandradio.org/
Criminal	http://feeds.feedburner.com/CriminalShow	http://thisiscriminal.com/
The Big Listen	http://wamu.org/rss/npr/the_big_listen.rss	http://biglisten.org/
Outside Podcast	http://podcast.outsideonline.com/OutsidePodcast	http://www.outsideonline.com/
Scratch Take	https://audioboom.com/channels/4684770.rss	https://audioboom.com/channel/scratch-take
Special Relationship, from The Economist and Mic	http://feeds.feedburner.com/SpecialRelationship	http://www.acast.com/specialrelationship
Hired.	http://hired.fm/itunes	http://hired.fm/
Within the Wires	http://withinthewires.libsyn.com/rss	http://withinthewires.libsyn.com/podcast
Smarty Pants from The American Scholar	http://feeds.feedburner.com/smarty_pants	https://theamericanscholar.org/podcast/
How To Do Everything	http://www.npr.org/rss/podcast.php?id=510303	http://howtodoeverything.org/
Slate Presents Lexicon Valley	http://feeds.feedburner.com/SlateLexiconValley	http://www.slate.com/lexiconvalley
Spark from CBC Radio	http://www.cbc.ca/podcasting/includes/spark.xml	http://www.cbc.ca/podcasting
Open Source with Christopher Lydon	http://radioopensource.org/feed/	http://radioopensource.org/
Why Oh Why? with Andrea Silenzi | WFMU	https://wfmu.org/podcast/LK.xml	http://www.wfmu.org/playlists/LK
Radiotonic - ABC Radio National	http://www.abc.net.au/radionational/feed/5421356/podcast.xml	http://www.abc.net.au/radionational/programs/radiotonic/
Radical Personal Finance: Financial Independence, Early Retirement, Investing, Insurance, Financial Planning	http://radicalpersonalfinance.libsyn.com/rss	http://radicalpersonalfinance.com/
Gastropod	https://gastropod.com/feed/	https://gastropod.com/
Transom Podcast	http://transom.org/topics/transom-podcast/feed/	http://transom.org/topics/transom-podcast/
Home of the Brave	http://homebrave.squarespace.com/home-of-the-brave?format=rss	http://homebrave.com/home-of-the-brave/
Flash Forward	http://rss.acast.com/flashforward	http://www.flashforwardpod.com/
Only Human	http://feeds.wnyc.org/only-human	http://www.wnyc.org/shows/onlyhuman
Call Your Girlfriend	http://rss.acast.com/callyourgirlfriend	http://callyourgirlfriend.com/
Orbital Path	http://feeds.orbital.prx.org	https://orbital.prx.org/
Alice Isn't Dead	http://aliceisntdead.libsyn.com/rss	http://www.nightvalepresents.com/
Slate's Trumpcast	http://feeds.feedburner.com/SlatesTrumpcast	http://www.slate.com/
Love Me	http://www.cbc.ca/podcasting/includes/loveme.xml	http://www.cbc.ca/podcasting
Radiolab Presents: More Perfect	http://feeds.wnyc.org/moreperfect	http://www.wnyc.org/shows/radiolabmoreperfect
